id,name,surname,email,password
1,kasia,kulas,kasia@test.pl,haslokasi
2,seba,jablonowski,seba@test.pl,hasloseby
3,Rafał,Dziedzic,rafal@test.pl,hasłorafała
4,Rafał,Dziedzic,rafal2@test.pl,hasłorafała
5,Rafał,Dziedzic,rafal3@test.pl,hasłorafała
6,Rafał,Dziedzic,rafal4@test.pl,hasłorafała
7,Rafał,Dziedzic,rafal6@test.pl,hasłorafała
8,Sebastian,Jabłonowskiii,sebastian.jablonowski@gmail.com,Testtest1234
9,Katarzyna,Kulasss,katarzyna.kulas@gmail.com,Test1234
10,Test1,Test2,Test3,Test4
11,Katarzyna,Kulas,kasiakat@test.pl,testtesttesttesr
12,Test,test,test,test
13,Katarzyna,Kulas,kasia.kat@wp.pl,test1234
14,Sebastian,Jabłonowski,testtets@gmail.com,test
15,Katarzyna,Kul;as,kulas,test
16,Katarzyna,Kulas,katarzyna.kulas@test.pl,Katarzyna
17,Katarzyna,Kulas,Katk,kat
18,Katarzyna,Kulas,kast,ka
19,Katarzyna,Kulas,kasia@o2.pl,test
20,Katarzyna,Kulas,kasia2@o2.pl,testowe
21,Katarzyna,Kulas,Katarzyna@katarzyna.pl,katarzyna.test
22,s,s,s,s
23,Katarzyna,Kulas,kulas@kat.pl,test
